Roll (degrees),Pitch (degrees)
-148.8243955434996,-1.2412159715684798
-141.5756028949224,-1.217756864394083
-134.37492925551172,-1.1672494916407576
-127.47980194765837,-1.1244450385817366
-120.92405467996336,-1.0312605333029738
-114.75861125470341,-0.9249899480452398
-108.89065851928012,-0.8446153553441301
-103.27990852714879,-0.7814947555896217
-97.8915713622756,-0.7221224882483094
-92.74070875492916,-0.6850479671921879
-87.87894258313634,-0.6725948452631875
-83.2819501113495,-0.6594201913681252
-78.92243109243232,-0.6527982831296878
-74.77724097513972,-0.5556867580255657
-70.67655652135535,-0.4346514374601091
-66.88912836719878,-0.5853246835292952
-63.334795202957075,-0.43346616643641267
-59.959451769244005,-0.49750316911617476
-56.76589054149589,-0.41065844618581965
-53.67572977599368,-0.39356337496850624
-50.77077824622116,-0.39096208344279154
-48.04823100535648,-0.3211006627074423
-45.41382791046883,-0.3499990618580349
-42.895977346224065,-0.31218431398077945
-40.50643805562412,-0.29794884462359394
-38.25525370847811,-0.22211732247405755
-36.142961245040034,-0.33469169145398725
-34.082860145144416,-0.2218081895413573
-32.280908125507494,0.018572777691143016
-30.49328615996272,-0.484063916250331
-28.38180331149405,-0.49731102317608605
-27.13504838515779,0.2658371731685659
-25.809193638946358,-0.1379229472262688
-24.878562785862023,-0.9915373700029397
-23.309219608877807,-1.690676297015261
-30.412970839400504,-1.2339006753624218
-27.120031572213,-1.677523856319659
-19.04205466127059,-1.2678664899114997
-19.7484195067321,-1.885939941015764
-17.89373642081659,-1.9420283523653719
-18.40210504950064,-2.5781063090266945
-18.210910361737444,-3.148693722695769
-18.241160567645533,-3.720362708069147
-18.310911156317868,-4.23797798974103
-19.41828663324697,-4.67776646104036
-44.4891779863527,-3.939505777957925
-43.451502595048055,-3.1673360915911983
-41.42496524057529,-3.4539427604582538
-38.98516453640554,-4.24870783931309
-36.96551756854904,-2.693007649564707
-34.26292087711782,-3.1124867228409063
-32.33466035489629,-3.052429557373342
-30.39322689246375,-1.6228926479236172
-8.988479403766794,-2.3639405319801847
-9.175461468242396,-2.181083721966058
